Brand,Model,Variant,Engine Capacity (cc),Power (bhp),Torque (Nm),Mileage (km/l),Top Speed (km/h),Acceleration,Transmission,Fuel Tank (L),Front Brake,Rear Brake,Braking System,Front Suspension,Rear Suspension,Weight (kg),Seat Height (mm),Ground Clearance (mm),Wheelbase (mm),Features,Service Interval,Maintenance Cost,Price (₹),Launch Year,Fuel Type,5 Year TCO (₹),Images
TVS,Jupiter 110,STD,109.7,7.3,8.4,50-55,85,~10 sec,CVT,5.3,Drum,Drum,CBS,Telescopic,Gas charged,104.0,765.0,163.0,1275.0,External fuel fill,6000 km,Low,75000,2024,Petrol,120000,/assets/Scooters/TVS/Jupiter 110.png
TVS,Jupiter 110,ZX,109.7,7.3,8.4,50-55,85,~10 sec,CVT,5.3,Disc,Drum,CBS,Telescopic,Gas charged,105.0,765.0,163.0,1275.0,Digital console,6000 km,Low,85000,2024,Petrol,130000,/assets/Scooters/TVS/Jupiter 110.png
TVS,Jupiter 125,Drum,124.8,8,10.5,50-57,95,~9 sec,CVT,5.1,Drum,Drum,CBS,Telescopic,Gas charged,108.0,765.0,163.0,1275.0,Large storage,6000 km,Low,85000,2023,Petrol,135000,/assets/Scooters/TVS/Jupiter 125.png
TVS,Jupiter 125,Disc,124.8,8,10.5,50-57,95,~9 sec,CVT,5.1,Disc,Drum,CBS,Telescopic,Gas charged,108.0,765.0,163.0,1275.0,Front disc,6000 km,Low,90000,2023,Petrol,140000,/assets/Scooters/TVS/Jupiter 125.png
TVS,Zest 110,STD,109.7,7.8,8.8,48,85,~10 sec,CVT,5,Drum,Drum,CBS,Telescopic,Hydraulic,103.0,760.0,150.0,1250.0,Lightweight design,6000 km,Low,75000,2024,Petrol,120000,/assets/Scooters/TVS/Zest 110.png
Hero,Destini 110,STD,110.9,8,8.7,50,85,~10 sec,CVT,5,Drum,Drum,CBS,Telescopic,Spring loaded,113.0,765.0,155.0,1245.0,Metal body,6000 km,Low,70000,2020,Petrol,120000,frontend/public/assets/Scooters/Hero/Destini 125.png
Hero,Xoom 160,STD,156.0,14,13.7,40,110,~8 sec,CVT,7,Disc,Disc,ABS,Telescopic,Mono shock,140.0,780.0,165.0,1350.0,"Maxi design, TFT",6000 km,Medium,150000,2025,Petrol,180000,/assets/Scooters/Hero/Xoom 160.png
Hero,Xoom 125,STD,124.6,9.5,10.4,45,95,~9 sec,CVT,5,Disc,Drum,CBS,Telescopic,Spring loaded,120.0,775.0,155.0,1300.0,Sporty design,6000 km,Medium,100000,2025,Petrol,150000,frontend/public/assets/Scooters/Hero/Xoom 160.png
Hero,New Destini 125,STD,124.6,9,10.4,50,90,~9 sec,CVT,5,Drum,Drum,CBS,Telescopic,Spring loaded,115.0,770.0,155.0,1245.0,Metal body,6000 km,Low,85000,2023,Petrol,135000,/assets/Scooters/Hero/Destini 125.png
Hero,New Destini 125,XTEC,124.6,9,10.4,50,90,~9 sec,CVT,5,Disc,Drum,CBS,Telescopic,Spring loaded,115.0,770.0,155.0,1245.0,"Bluetooth, digital",6000 km,Low,90000,2023,Petrol,140000,/assets/Scooters/Hero/Destini 125.png
Hero,Destini Prime,STD,124.6,9,10.4,50,90,~9 sec,CVT,5,Drum,Drum,CBS,Telescopic,Spring loaded,115.0,770.0,155.0,1245.0,Budget variant,6000 km,Low,80000,2023,Petrol,135000,frontend/public/assets/Scooters/Hero/Destini 125.png
Hero,Xoom 110,LX,110.9,8.1,8.7,45,87,~9 sec,CVT,5.2,Drum,Drum,CBS,Telescopic,Spring loaded,108.0,770.0,155.0,1300.0,Basic variant,6000 km,Medium,80000,2023,Petrol,130000,frontend/public/assets/Scooters/Hero/Xoom 160.png
Hero,Xoom 110,VX,110.9,8.1,8.7,45,87,~9 sec,CVT,5.2,Disc,Drum,CBS,Telescopic,Spring loaded,108.0,770.0,155.0,1300.0,Cornering lights,6000 km,Medium,85000,2023,Petrol,135000,frontend/public/assets/Scooters/Hero/Xoom 160.png
Hero,Xoom 110,ZX,110.9,8.1,8.7,45,87,~9 sec,CVT,5.2,Disc,Drum,CBS,Telescopic,Spring loaded,108.0,770.0,155.0,1300.0,Sporty graphics,6000 km,Medium,90000,2023,Petrol,140000,frontend/public/assets/Scooters/Hero/Xoom 160.png
Hero,Pleasure+,XTEC Drum,110.9,8,8.7,50,85,~10 sec,CVT,4.8,Drum,Drum,CBS,Telescopic,Spring loaded,104.0,765.0,155.0,1238.0,Bluetooth,6000 km,Low,80000,2023,Petrol,125000,/assets/Scooters/Hero/Pleasure+.png
Hero,Pleasure+,XTEC Disc,110.9,8,8.7,50,85,~10 sec,CVT,4.8,Disc,Drum,CBS,Telescopic,Spring loaded,104.0,765.0,155.0,1238.0,Digital console,6000 km,Low,85000,2023,Petrol,130000,/assets/Scooters/Hero/Pleasure+.png
Suzuki,Access 125,Standard Edition,124.0,8.7,10,50,90,~9 sec,CVT,5.3,Drum,Drum,CBS,Telescopic,Swing arm,103.0,773.0,160.0,1265.0,Basic features,6000 km,Low,80000,2023,Petrol,130000,/assets/Scooters/Suzuki/Access 125.png
Suzuki,Access 125,Special Edition,124.0,8.7,10,50,90,~9 sec,CVT,5.3,Disc,Drum,CBS,Telescopic,Swing arm,104.0,773.0,160.0,1265.0,Chrome styling,6000 km,Low,90000,2023,Petrol,140000,/assets/Scooters/Suzuki/Access 125.png
Suzuki,Access 125,Ride Connect Edition,124.0,8.7,10,50,90,~9 sec,CVT,5.3,Disc,Drum,CBS,Telescopic,Swing arm,104.0,773.0,160.0,1265.0,Bluetooth console,6000 km,Low,92000,2023,Petrol,142000,/assets/Scooters/Suzuki/Access 125.png
Suzuki,Access 125,Ride Connect TFT Edition,124.0,8.7,10,50,90,~9 sec,CVT,5.3,Disc,Drum,CBS,Telescopic,Swing arm,104.0,773.0,160.0,1265.0,TFT display,6000 km,Low,95000,2024,Petrol,145000,/assets/Scooters/Suzuki/Access 125.png
Suzuki,Access 125,Ride Connect ABS Edition,124.0,8.7,10,50,90,~9 sec,CVT,5.3,Disc,Drum,ABS,Telescopic,Swing arm,105.0,773.0,160.0,1265.0,ABS braking,6000 km,Medium,100000,2024,Petrol,150000,/assets/Scooters/Suzuki/Access 125.png
Suzuki,Access 125,Ride Connect TFT ABS Edition,124.0,8.7,10,50,90,~9 sec,CVT,5.3,Disc,Drum,ABS,Telescopic,Swing arm,105.0,773.0,160.0,1265.0,TFT + ABS,6000 km,Medium,105000,2024,Petrol,155000,/assets/Scooters/Suzuki/Access 125.png
Suzuki,Avenis 125,Base,124.3,8.6,10,49,90,~9 sec,CVT,5.2,Disc,Drum,CBS,Telescopic,Swing arm,106.0,780.0,160.0,1265.0,Basic sporty design,6000 km,Low,90000,2023,Petrol,140000,/assets/Scooters/Suzuki/Avenis 125.png
Suzuki,Avenis 125,Standard Edition,124.3,8.6,10,49,90,~9 sec,CVT,5.2,Disc,Drum,CBS,Telescopic,Swing arm,106.0,780.0,160.0,1265.0,Digital console,6000 km,Low,92000,2023,Petrol,142000,/assets/Scooters/Suzuki/Avenis 125.png
Suzuki,Avenis 125,Special Edition,124.3,8.6,10,49,90,~9 sec,CVT,5.2,Disc,Drum,CBS,Telescopic,Swing arm,106.0,780.0,160.0,1265.0,Special graphics,6000 km,Low,95000,2023,Petrol,145000,/assets/Scooters/Suzuki/Avenis 125.png
Suzuki,Burgman Street 125,Standard,124.0,8.7,10,50,95,~9 sec,CVT,5.5,Disc,Drum,CBS,Telescopic,Swing arm,110.0,780.0,160.0,1265.0,"LED headlamp, digital console",6000 km,Low,95000,2023,Petrol,145000,/assets/Scooters/Suzuki/Burgman Street 125.png
Suzuki,Burgman Street 125,Ride Connect Edition,124.0,8.7,10,50,95,~9 sec,CVT,5.5,Disc,Drum,CBS,Telescopic,Swing arm,110.0,780.0,160.0,1265.0,"Bluetooth, navigation",6000 km,Low,100000,2023,Petrol,148000,/assets/Scooters/Suzuki/Burgman Street 125.png
Suzuki,Burgman Street EX,Standard,124.0,8.6,10,55,95,~9 sec,CVT,5.5,Disc,Drum,CBS,Telescopic,Swing arm,111.0,780.0,160.0,1265.0,"Silent start, Engine auto stop-start, E20 compatible",6000 km,Low,110000,2023,Petrol,155000,/assets/Scooters/Suzuki/Burgman Street EX.png
Yamaha,RayZR 125 Fi Hybrid,Drum,125.0,8,10.3,50,90,~9 sec,CVT,5.2,Drum,Drum,UBS,Telescopic,Unit swing,99.0,785.0,145.0,1280.0,"Hybrid assist, SMG",6000 km,Low,85000,2023,Petrol,130000,/assets/Scooters/Yamaha/RayZR 125.png
Yamaha,RayZR 125 Fi Hybrid,Disc,125.0,8,10.3,50,90,~9 sec,CVT,5.2,Disc,Drum,UBS,Telescopic,Unit swing,99.0,785.0,145.0,1280.0,"LED, digital console",6000 km,Low,90000,2023,Petrol,135000,/assets/Scooters/Yamaha/RayZR 125.png
Yamaha,RayZR 125 Fi Hybrid,Street Rally,125.0,8,10.3,50,90,~9 sec,CVT,5.2,Disc,Drum,UBS,Telescopic,Unit swing,100.0,785.0,145.0,1280.0,"Block pattern tyres, sporty design",6000 km,Low,95000,2023,Petrol,140000,/assets/Scooters/Yamaha/RayZR 125.png
Yamaha,Aerox 155,Standard,155.0,15,13.9,40,115,~7 sec,CVT,5.5,Disc,Drum,ABS,Telescopic,Twin shock,126.0,790.0,145.0,1350.0,Liquid cooled engine,6000 km,Medium,150000,2023,Petrol,180000,/assets/Scooters/Yamaha/Aerox 155.png
Yamaha,Aerox 155,S Version,155.0,15,13.9,40,115,~7 sec,CVT,5.5,Disc,Drum,ABS,Telescopic,Twin shock,126.0,790.0,145.0,1350.0,Smart key system,6000 km,Medium,155000,2023,Petrol,185000,/assets/Scooters/Yamaha/Aerox 155.png
Honda,Activa 6G,Standard,109.51,7.8,8.9,60,85,0–60 in ~7 sec,Automatic (CVT),5.3,Drum,Drum,CBS,Telescopic,3-Step Adjustable Spring,106.0,765.0,171.0,1260.0,"Silent Start (ACG), eSP Tech",3000 km,Low,75000,2020,Petrol,"1,20,000",/assets/Scooters/Honda/Activa 6G.png
Honda,Activa 6G,Deluxe,109.51,7.8,8.9,60,85,0–60 in ~7 sec,Automatic (CVT),5.3,Drum,Drum,CBS,Telescopic,3-Step Adjustable Spring,107.0,765.0,171.0,1260.0,"LED Headlamp, External Fuel Lid",3000 km,Low,80000,2020,Petrol,"1,25,000",/assets/Scooters/Honda/Activa 6G.png
Honda,Activa 6G,Premium Edition,109.51,7.8,8.9,60,85,0–60 in ~7 sec,Automatic (CVT),5.3,Drum,Drum,CBS,Telescopic,3-Step Adjustable Spring,107.0,765.0,171.0,1260.0,"Premium Colors, Chrome Finish",3000 km,Low,83000,2021,Petrol,"1,28,000",/assets/Scooters/Honda/Activa 6G.png
Honda,Activa H-Smart,Smart Key,109.51,7.8,8.9,60,85,0–60 in ~7 sec,Automatic (CVT),5.3,Drum,Drum,CBS,Telescopic,3-Step Adjustable Spring,107.0,765.0,171.0,1260.0,"Smart Key, Anti-Theft, Remote Unlock",3000 km,Low,85000,2023,Petrol,"1,30,000",/assets/Scooters/Honda/Activa H-Smart.png
Honda,Activa H-Smart,Smart Deluxe,109.51,7.8,8.9,60,85,0–60 in ~7 sec,Automatic (CVT),,,,,,,,,,,,,,,,,,/assets/Scooters/Honda/Activa H-Smart.png
Honda,Grazia 125,Standard (BS6),124.0,8.14,10.3,50,90 km/h,8.8s,CVT,5.3,Drum,Drum,CBS,Telescopic,3-Step Adj,108.0,708.0,171.0,1260.0,"Silent Start, Pass Switch",6000 km,"₹23,000",73000,2020,Petrol,"1,72,000",/assets/Scooters/Honda/Grazia 125.png
Honda,Grazia 125,Deluxe (BS6),124.0,8.14,10.3,50,92 km/h,8.5s,CVT,5.3,Disc,Drum,CBS,Telescopic,3-Step Adj,108.0,708.0,171.0,1260.0,"Idling Stop, Alloy Wheels",6000 km,"₹25,000",81000,2020,Petrol,"1,80,000",/assets/Scooters/Honda/Grazia 125.png
Honda,Grazia 125,Sports Edition,124.0,8.14,10.3,50,92 km/h,8.5s,CVT,5.3,Disc,Drum,CBS,Telescopic,3-Step Adj,108.0,708.0,171.0,1260.0,"Dual Tone, Sport Graphics",6000 km,"₹26,000",83000,2021,Petrol,"1,83,000",/assets/Scooters/Honda/Grazia 125.png
Honda,Grazia 125,Repsol Edition,124.0,8.14,10.3,50,92 km/h,8.5s,CVT,5.3,Disc,Drum,CBS,Telescopic,3-Step Adj,108.0,708.0,171.0,1260.0,"Repsol Livery, Orange Rims",6000 km,"₹28,000",87000,2021,Petrol,"1,88,000",/assets/Scooters/Honda/Grazia 125.png
TVS,Scooty Pep,4-Stroke (Initial),74.6,4.2,5.4,55,70,15.0s,CVT,4.5,Drum,Drum,Standard,Telescopic,Monoshock,90.0,760.0,135.0,1230.0,"4-Stroke Engine, New Body",3000 km,"₹12,000",34000,2003,Petrol,"1,05,000",/assets/Scooters/TVS/Scooty Pep+.png
TVS,Scooty Pep+,BS6 Standard,87.8,5.36,6.5,50,66,12.2s,CVT,4.2,Drum,Drum,SBT,Telescopic,Monoshock,93.0,768.0,135.0,1230.0,"ETFI Tech, Side Stand Alarm",6000 km,"₹18,000",65514,2020,Petrol,"1,45,000",/assets/Scooters/TVS/Scooty Pep+.png
TVS,Scooty Pep+,BS6 Matte Edition,87.8,5.36,6.5,50,66,12.2s,CVT,4.2,Drum,Drum,SBT,Telescopic,Monoshock,93.0,768.0,135.0,1230.0,"Matte Finish, 3D Logo",6000 km,"₹19,000",68414,2021,Petrol,"1,50,000",/assets/Scooters/TVS/Scooty Pep+.png
TVS,Scooty Pep+,Mudhal Kadhal Ed.,87.8,5.36,6.5,50,66,12.2s,CVT,4.2,Drum,Drum,SBT,Telescopic,Monoshock,93.0,768.0,135.0,1230.0,Special Graphics (Tamil Nadu),6000 km,"₹20,000",69500,2021,Petrol,"1,52,000",/assets/Scooters/TVS/Scooty Pep+.png
TVS,Jupiter,Base (BS6),109.7,7.37,8.4,55,85,11.5s,CVT,6,Drum,Drum,SBT,Telescopic,3-Step Adj,107.0,765.0,163.0,1275.0,"ETFi Tech, Malfunction Lamp",6000 km,"₹22,000",73340,2020,Petrol,"1,68,000",/assets/Scooters/TVS/Jupiter 110.png
TVS,Jupiter,ZX SmartXonnect,109.7,7.37,8.4,55,85,11.5s,CVT,6,Disc,Drum,SBT,Telescopic,3-Step Adj,109.0,765.0,163.0,1275.0,"Bluetooth, Navigation, Voice",6000 km,"₹24,000",86500,2022,Petrol,"1,85,000",/assets/Scooters/TVS/Jupiter 110.png
TVS,New Jupiter,Drum (Steel),113.3,7.91,9.2,50,90,10.5s,CVT,5.1,Drum,Drum,SBT,Telescopic,Twin Tube,105.0,790.0,163.0,1275.0,"New Body, 33L Underseat",6000 km,"₹22,000",73700,2024,Petrol,"1,75,000",/assets/Scooters/TVS/New Jupiter.png
TVS,New Jupiter,Drum Alloy,113.3,7.91,9.2,50,90,10.5s,CVT,5.1,Drum,Drum,SBT,Telescopic,Twin Tube,105.0,790.0,163.0,1275.0,"Alloy Wheels, 4 New Colors",6000 km,"₹23,000",79300,2024,Petrol,"1,82,000",/assets/Scooters/TVS/New Jupiter.png
TVS,New Jupiter,SmartXonnect,113.3,8.02,9.8,52,92,9.5s,CVT,5.1,Disc,Drum,SBT,Telescopic,Twin Tube,106.0,790.0,163.0,1275.0,"iGO Assist (Hybrid), Navigation",6000 km,"₹25,000",87500,2024,Petrol,"1,92,000",/assets/Scooters/TVS/New Jupiter.png
TVS,Scooty Zest,Himalayan Highs,109.7,7.9,8.8,62,80,11.1s,CVT,5,Drum,Drum,Standard,Telescopic,Monoshock,97.0,760.0,150.0,1250.0,"Special Brown, Emblem",3000 km,"₹16,000",46113,2016,Petrol,"1,25,000",/assets/Scooters/TVS/Scooty Zest.png
TVS,Scooty Zest,Gloss Series (BS6),109.7,7.71,8.8,48,80,11.5s,CVT,4.9,Drum,Drum,SBT,Telescopic,Hyd. Mono,103.0,760.0,150.0,1250.0,"ETFi Tech, Underseat Lamp",6000 km,"₹22,000",70850,2020,Petrol,"1,60,000",/assets/Scooters/TVS/Scooty Zest.png
TVS,Scooty Zest,Matte Series (BS6),109.7,7.71,8.8,48,80,11.5s,CVT,4.9,Drum,Drum,SBT,Telescopic,Hyd. Mono,103.0,760.0,150.0,1250.0,"3D Logo, Premium Colors",6000 km,"₹23,000",72450,2020,Petrol,"1,65,000",/assets/Scooters/TVS/Scooty Zest.png
TVS,Scooty Zest,SXC (2026 Model),109.7,7.81,8.8,48,80,11.2s,CVT,4.9,Drum,Drum,SBT,Telescopic,Hyd. Mono,103.0,760.0,150.0,1250.0,"Digital Dash, Navigation",6000 km,"₹26,000",75750,2025,Petrol,"1,75,000",/assets/Scooters/TVS/Scooty Zest.png
TVS,NTORQ 125,Standard (BS6),124.8,9.25,10.5,42,95,9.1s,CVT,5.8,Disc,Drum,SBT,Telescopic,Gas Filled,118.0,770.0,155.0,1285.0,"RT-Fi Tech, Stealth Colors",6000 km,"₹25,000",77000,2020,Petrol,"1,85,000",/assets/Scooters/TVS/NTORQ 125.png
TVS,NTORQ 125,Race Edition,124.8,9.25,10.5,42,95,9.1s,CVT,5.8,Disc,Drum,SBT,Telescopic,Gas Filled,118.0,770.0,155.0,1285.0,"LED Headlamp, Hazard Light",6000 km,"₹26,000",82000,2020,Petrol,"1,92,000",/assets/Scooters/TVS/NTORQ 125.png
TVS,NTORQ 125,SuperSquad Ed.,124.8,9.25,10.5,42,95,9.1s,CVT,5.8,Disc,Drum,SBT,Telescopic,Gas Filled,118.0,770.0,155.0,1285.0,Marvel Avengers Graphics,6000 km,"₹26,000",85000,2021,Petrol,"1,95,000",/assets/Scooters/TVS/NTORQ 125.png
TVS,NTORQ 125,Race XP,124.8,10.06,10.8,45,98,8.6s,CVT,5.8,Disc,Drum,SBT,Telescopic,Gas Filled,116.0,770.0,155.0,1285.0,"Ride Modes, Voice Assist",6000 km,"₹28,000",89000,2021,Petrol,"2,05,000",/assets/Scooters/TVS/NTORQ 125.png
TVS,NTORQ 125,XT,124.8,9.25,10.5,42,95,9.1s,CVT,5.8,Disc,Drum,SBT,Telescopic,Gas Filled,118.0,770.0,155.0,1285.0,TFT + LCD Twin Screen,6000 km,"₹30,000",97000,2022,Petrol,"2,15,000",/assets/Scooters/TVS/NTORQ 125.png
TVS,NTORQ 125,Black Edition,124.8,9.25,10.5,42,95,9.1s,CVT,5.8,Disc,Drum,SBT,Telescopic,Gas Filled,118.0,770.0,155.0,1285.0,All-Black Stealth Theme,6000 km,"₹26,000",88000,2024,Petrol,"1,98,000",/assets/Scooters/TVS/NTORQ 125.png
TVS,Jupiter 125,Drum (Steel),124.8,8.04,10.5,50,90,9.1s,CVT,5.1,Drum,Drum,SBT,Telescopic,Gas Charged,108.0,765.0,163.0,1275.0,"33L Storage, Front Fuel Fill",6000 km,"₹22,000",86250,2021,Petrol,"1,82,000",/assets/Scooters/TVS/Jupiter 125.png
TVS,Jupiter 125,Drum (Alloy),124.8,8.04,10.5,50,90,9.1s,CVT,5.1,Drum,Drum,SBT,Telescopic,Gas Charged,108.0,765.0,163.0,1275.0,"Alloy Wheels, USB Charger",6000 km,"₹23,000",91195,2021,Petrol,"1,88,000",/assets/Scooters/TVS/Jupiter 125.png
TVS,Jupiter 125,Disc (Alloy),124.8,8.04,10.5,52,95,8.9s,CVT,5.1,Disc,Drum,SBT,Telescopic,Gas Charged,109.0,765.0,163.0,1275.0,"220mm Disc, Diamond Cut",6000 km,"₹25,000",96581,2021,Petrol,"1,95,000",/assets/Scooters/TVS/Jupiter 125.png
TVS,Jupiter 125,DT SXC,124.8,8.45,10.5,54,95,8.7s,CVT,5.1,Disc,Drum,SBT,Telescopic,Gas Charged,109.0,765.0,163.0,1275.0,"Dual Tone, iGO Assist",6000 km,"₹27,000","1,00,703",2025,Petrol,"2,05,000",/assets/Scooters/TVS/Jupiter 125.png
TVS,Jupiter 125,SmartXonnect,124.8,8.04,10.5,52,95,8.9s,CVT,5.1,Disc,Drum,SBT,Telescopic,Gas Charged,109.0,765.0,163.0,1275.0,"TFT Dash, Voice Assist",6000 km,"₹28,000","1,03,231",2024,Petrol,"2,10,000",/assets/Scooters/TVS/Jupiter 125.png
TVS,NTORQ 125,Race XP,124.8,10.2 PS,10.8 Nm,50,98 km/h,8.6s,CVT,5.8,Disc,Drum,SBT,Telescopic,Gas Filled,111.0,770.0,155.0,1285.0,2 Ride Modes (Race/Street),6000 km,"₹28,000",97500,2021,Petrol,"2,10,000",/assets/Scooters/TVS/NTORQ 125.png
TVS,NTORQ 125,Race XP (Black Ed.),124.8,10.2 PS,10.8 Nm,50,98 km/h,8.6s,CVT,5.8,Disc,Drum,SBT,Telescopic,Gas Filled,111.0,770.0,155.0,1285.0,"Stealth Black Theme, Voice Assist",6000 km,"₹28,000",99200,2024,Petrol,"2,12,000",/assets/Scooters/TVS/NTORQ 125.png
TVS,NTORQ 125,XT (Standard),124.8,9.38 PS,10.6 Nm,47,95 km/h,9.1s,CVT,5.8,Disc,Drum,SBT,Telescopic,Gas Filled,114.0,770.0,155.0,1285.0,Hybrid TFT+LCD Display,6000 km,"₹32,000","1,08,500",2022,Petrol,"2,25,000",/assets/Scooters/TVS/NTORQ 125.png
TVS,NTORQ 125,XT (Neon Edition),124.8,9.38 PS,10.6 Nm,47,95 km/h,9.1s,CVT,5.8,Disc,Drum,SBT,Telescopic,Gas Filled,114.0,770.0,155.0,1285.0,"Neon Green Wheels, Food Tracker",6000 km,"₹33,000","1,10,000",2025,Petrol,"2,30,000",/assets/Scooters/TVS/NTORQ 125.png
TVS,Jupiter 125,CNG STD (Drum),124.8,7.1,9.4,84 km/kg,80 km/h,11.0s,CVT,1.4kg CNG + 2L Pet.,Drum,Drum,SBT,Telescopic,Monoshock,115.0,765.0,163.0,1275.0,"Dual-Fuel Switch, LED Lamp",6000 km,"₹18,000",90000,2026,CNG+Petrol,"1,35,000",/assets/Scooters/TVS/Jupiter 125.png
TVS,Jupiter 125,CNG SXC (Disc),124.8,7.1,9.4,84 km/kg,80 km/h,11.0s,CVT,1.4kg CNG + 2L Pet.,Disc,Drum,SBT,Telescopic,Monoshock,116.0,765.0,163.0,1275.0,"TFT Dash, Navigation",6000 km,"₹20,000","1,00,000",2026,CNG+Petrol,"1,42,000",/assets/Scooters/TVS/Jupiter 125.png
Hero,Pleasure+,LX (Base BS6),110.9,8,8.7,50,75,11.2s,CVT,4.8,Drum,Drum,IBS,Bottom Link,Monoshock,104.0,765.0,155.0,1238.0,"i3S Tech, Retro Design",6000 km,"₹18,000",70838,2019,Petrol,"1,60,000",/assets/Scooters/Hero/Pleasure+.png
Hero,Pleasure+,VX (Mid BS6),110.9,8,8.7,50,75,11.2s,CVT,4.8,Drum,Drum,IBS,Bottom Link,Monoshock,104.0,765.0,155.0,1238.0,"Alloy Wheels, Chrome garnish",6000 km,"₹20,000",74288,2019,Petrol,"1,65,000",/assets/Scooters/Hero/Pleasure+.png
Hero,Pleasure+,XTEC ZX,110.9,8,8.7,50,75,11.0s,CVT,4.8,Drum,Drum,IBS,Telescopic,Monoshock,106.0,765.0,155.0,1238.0,"LED Projector, Bluetooth",6000 km,"₹22,000",82738,2021,Petrol,"1,75,000",/assets/Scooters/Hero/Pleasure+.png
Hero,Pleasure+,XTEC Sports,110.9,8.1,8.7,50,78,10.8s,CVT,4.8,Drum,Drum,IBS,Telescopic,Monoshock,106.0,765.0,155.0,1238.0,"Sports Graphics, Matte Finish",6000 km,"₹24,000",79738,2024,Petrol,"1,72,000",/assets/Scooters/Hero/Pleasure+.png
